EnglishProductName,ProductKey,NumberOfSold,UnitPrice,AmountSold
Water Bottle - 30 oz.,477,4244,"4,99","21177,56"
Patch Kit/8 Patches,480,3191,"2,29","7307,39"
Mountain Tire Tube,528,3095,"4,99","15444,05"
Road Tire Tube,529,2376,"3,99","9480,24"
"Sport-100 Helmet, Red",214,2230,"34,99","78027,70"
AWC Logo Cap,225,2190,"8,99","19688,10"
"Sport-100 Helmet, Blue",222,2125,"34,99","74353,75"
Fender Set - Mountain,485,2121,"21,98","46619,58"
"Sport-100 Helmet, Black",217,2085,"34,99","72954,15"
Mountain Bottle Cage,478,2025,"9,99","20229,75"
Road Bottle Cage,479,1712,"8,99","15390,88"
Touring Tire Tube,530,1488,"4,99","7425,12"
HL Mountain Tire,537,1396,"35,00","48860,00"
ML Mountain Tire,536,1161,"29,99","34818,39"
LL Road Tire,538,1044,"21,49","22435,56"
Touring Tire,541,935,"28,99","27105,65"
ML Road Tire,539,926,"24,99","23140,74"
Bike Wash - Dissolver,484,908,"7,95","7218,60"
LL Mountain Tire,535,862,"24,99","21541,38"
HL Road Tire,540,858,"32,60","27970,80"
Hydration Pack - 70 oz.,487,733,"54,99","40307,67"
"Half-Finger Gloves, M",465,499,"24,49","12220,51"
"Half-Finger Gloves, S",463,488,"24,49","11951,12"
"Long-Sleeve Logo Jersey, L",234,452,"49,99","22595,48"
"Half-Finger Gloves, L",467,443,"24,49","10849,07"
"Long-Sleeve Logo Jersey, M",231,442,"49,99","22095,58"
"Long-Sleeve Logo Jersey, S",228,429,"49,99","21445,71"
"Mountain-200 Black, 42",361,427,"2294,99","979960,73"
"Mountain-200 Silver, 38",353,422,"2319,99","979035,78"
"Mountain-200 Black, 46",363,419,"2294,99","961600,81"
"Mountain-200 Black, 38",359,416,"2294,99","954715,84"
"Long-Sleeve Logo Jersey, XL",237,413,"49,99","20645,87"
"Short-Sleeve Classic Jersey, XL",491,409,"53,99","22081,91"
"Short-Sleeve Classic Jersey, M",489,407,"53,99","21973,93"
"Short-Sleeve Classic Jersey, S",488,406,"53,99","21919,94"
"Mountain-200 Silver, 46",357,401,"2319,99","930315,99"
"Mountain-200 Silver, 42",355,392,"2319,99","909436,08"
"Road-750 Black, 52",606,386,"539,99","208436,14"
"Short-Sleeve Classic Jersey, L",490,374,"53,99","20192,26"
"Women's Mountain Shorts, L",476,363,"69,99","25406,37"
"Road-750 Black, 48",605,363,"539,99","196016,37"
"Road-750 Black, 44",604,360,"539,99","194396,40"
"Women's Mountain Shorts, M",475,352,"69,99","24636,48"
"Road-150 Red, 48",312,337,"3578,27","1205876,99"
"Road-150 Red, 62",310,336,"3578,27","1202298,72"
"Road-750 Black, 58",584,334,"539,99","180356,66"
Hitch Rack - 4-Bike,483,328,"120,00","39360,00"
"Women's Mountain Shorts, S",474,304,"69,99","21276,96"
"Road-150 Red, 52",313,302,"3578,27","1080637,54"
"Racing Socks, M",481,298,"8,99","2679,02"
"Road-150 Red, 56",314,295,"3578,27","1055589,65"
"Road-150 Red, 44",311,281,"3578,27","1005493,87"
"Racing Socks, L",482,270,"8,99","2427,30"
All-Purpose Bike Stand,486,249,"159,00","39591,00"
"Road-350-W Yellow, 40",580,246,"1700,99","418443,54"
"Road-550-W Yellow, 42",386,237,"1120,49","265556,13"
"Road-350-W Yellow, 42",581,235,"1700,99","399732,65"
"Road-350-W Yellow, 48",583,232,"1700,99","394629,68"
"Road-350-W Yellow, 44",582,216,"1700,99","367413,84"
"Road-550-W Yellow, 44",388,210,"1120,49","235302,90"
"Mountain-200 Black, 46",362,201,"2049,0982","411868,7382"
"Road-550-W Yellow, 40",384,199,"1120,49","222977,51"
"Classic Vest, M",472,199,"63,50","12636,50"
"Road-550-W Yellow, 38",382,198,"1120,49","221857,02"
"Classic Vest, L",473,195,"63,50","12382,50"
"Road-550-W Yellow, 48",390,189,"1120,49","211772,61"
"Mountain-200 Black, 42",360,187,"2049,0982","383181,3634"
"Mountain-200 Silver, 46",356,179,"2071,4196","370784,1084"
"Touring-1000 Blue, 46",573,177,"2384,07","421980,39"
"Mountain-200 Silver, 38",352,174,"2071,4196","360427,0104"
"Touring-1000 Yellow, 46",561,172,"2384,07","410060,04"
"Road-250 Black, 52",377,172,"2181,5625","375228,75"
"Road-250 Red, 58",371,172,"2181,5625","375228,75"
"Mountain-200 Silver, 42",354,168,"2071,4196","347998,4928"
"Classic Vest, S",471,168,"63,50","10668,00"
"Mountain-200 Black, 38",358,166,"2049,0982","340150,3012"
"Road-250 Red, 48",369,162,"2443,35","395822,70"
"Touring-1000 Blue, 54",575,160,"2384,07","381451,20"
"Touring-1000 Yellow, 54",563,158,"2384,07","376683,06"
"Road-250 Black, 48",376,157,"2443,35","383605,95"
"Touring-1000 Yellow, 50",562,151,"2384,07","359994,57"
"Touring-1000 Blue, 50",574,150,"2384,07","357610,50"
"Mountain-400-W Silver, 38",587,148,"769,49","113884,52"
"Road-250 Black, 52",378,147,"2443,35","359172,45"
"Touring-1000 Blue, 60",576,147,"2384,07","350458,29"
"Road-250 Red, 44",368,144,"2443,35","351842,40"
"Road-250 Black, 58",379,144,"2181,5625","314145,00"
"Road-250 Black, 44",374,142,"2443,35","346955,70"
"Road-250 Black, 48",375,141,"2181,5625","307600,3125"
"Touring-1000 Yellow, 60",564,140,"2384,07","333769,80"
"Mountain-400-W Silver, 46",590,138,"769,49","106189,62"
"Road-250 Red, 58",372,134,"2443,35","327408,90"
"Road-250 Red, 52",370,133,"2443,35","324965,55"
"Mountain-400-W Silver, 42",589,129,"769,49","99264,21"
"Road-250 Black, 44",373,129,"2181,5625","281421,5625"
"Mountain-400-W Silver, 40",588,128,"769,49","98494,72"
"Road-250 Black, 58",380,126,"2443,35","307862,10"
"Touring-2000 Blue, 50",578,106,"1214,85","128774,10"
"Touring-2000 Blue, 46",577,97,"1214,85","117840,45"
"Touring-2000 Blue, 54",579,88,"1214,85","106906,80"
"Touring-2000 Blue, 60",560,81,"1214,85","98402,85"
"Road-550-W Yellow, 44",387,77,"1000,4375","77033,6875"
"Road-550-W Yellow, 38",381,72,"1000,4375","72031,50"
"Road-550-W Yellow, 48",389,72,"1000,4375","72031,50"
"Road-550-W Yellow, 42",385,69,"1000,4375","69030,1875"
"Road-550-W Yellow, 40",383,67,"1000,4375","67029,3125"
"Touring-3000 Blue, 62",567,64,"742,35","47510,40"
"Road-650 Red, 48",329,62,"782,99","48545,38"
"Mountain-100 Black, 44",350,60,"3374,99","202499,40"
"Touring-3000 Yellow, 50",569,59,"742,35","43798,65"
"Road-650 Red, 62",325,59,"782,99","46196,41"
"Touring-3000 Yellow, 44",568,59,"742,35","43798,65"
"Road-650 Black, 58",333,58,"782,99","45413,42"
"Mountain-500 Black, 44",598,58,"539,99","31319,42"
"Mountain-100 Silver, 38",344,58,"3399,99","197199,42"
"Mountain-100 Black, 48",351,57,"3374,99","192374,43"
"Touring-3000 Blue, 58",566,57,"742,35","42313,95"
"Mountain-500 Black, 48",599,56,"539,99","30239,44"
"Road-650 Black, 52",343,56,"782,99","43847,44"
"Road-650 Red, 58",321,55,"782,99","43064,45"
"Touring-3000 Blue, 54",565,55,"742,35","40829,25"
"Touring-3000 Blue, 44",585,53,"742,35","39344,55"
"Road-650 Red, 44",327,50,"782,99","39149,50"
"Touring-3000 Yellow, 62",572,50,"742,35","37117,50"
"Mountain-500 Silver, 48",594,50,"564,99","28249,50"
"Mountain-100 Black, 38",348,49,"3374,99","165374,51"
"Mountain-100 Silver, 44",346,49,"3399,99","166599,51"
"Mountain-500 Black, 42",597,49,"539,99","26459,51"
"Mountain-500 Black, 40",596,48,"539,99","25919,52"
"Touring-3000 Blue, 50",586,48,"742,35","35632,80"
"Touring-3000 Yellow, 54",570,48,"742,35","35632,80"
"Mountain-500 Silver, 52",595,48,"564,99","27119,52"
"Road-650 Black, 60",335,48,"782,99","37583,52"
"Touring-3000 Yellow, 58",571,47,"742,35","34890,45"
"Mountain-100 Black, 42",349,45,"3374,99","151874,55"
"Mountain-500 Silver, 40",591,45,"564,99","25424,55"
"Mountain-500 Silver, 42",592,45,"564,99","25424,55"
"Road-650 Black, 62",337,43,"782,99","33668,57"
"Road-650 Black, 48",341,43,"782,99","33668,57"
"Mountain-100 Silver, 42",345,42,"3399,99","142799,58"
"Road-650 Black, 44",339,42,"782,99","32885,58"
"Mountain-500 Black, 52",600,41,"539,99","22139,59"
"Road-650 Red, 52",331,41,"782,99","32102,59"
"Mountain-500 Silver, 44",593,39,"564,99","22034,61"
"Road-650 Red, 60",323,36,"782,99","28187,64"
"Mountain-100 Silver, 48",347,36,"3399,99","122399,64"
"Road-650 Black, 52",342,33,"699,0982","23070,2406"
"Road-650 Black, 60",334,28,"699,0982","19574,7496"
"Road-650 Red, 48",328,26,"699,0982","18176,5532"
"Road-650 Black, 62",336,22,"699,0982","15380,1604"
"Road-650 Red, 44",326,22,"699,0982","15380,1604"
"Road-650 Black, 44",338,21,"699,0982","14681,0622"
"Road-650 Red, 52",330,20,"699,0982","13981,964"
"Road-650 Red, 58",320,19,"699,0982","13282,8658"
"Road-650 Black, 58",332,18,"699,0982","12583,7676"
"Road-650 Black, 48",340,17,"699,0982","11884,6694"
"Road-650 Red, 60",322,17,"699,0982","11884,6694"
"Road-650 Red, 62",324,16,"699,0982","11185,5712"
Flat Washer 6,23,0,NULL,NULL
Thin-Jam Hex Nut 3,46,0,NULL,NULL
"Sport-100 Helmet, Black",215,0,NULL,NULL
HL Road Pedal,547,0,NULL,NULL
Hex Nut 20,69,0,NULL,NULL
HL Road Seat Assembly,192,0,NULL,NULL
HL Mountain Handlebars,401,0,NULL,NULL
"LL Mountain Frame - Silver, 42",524,0,NULL,NULL
Rear Derailleur,501,0,NULL,NULL
Rear Derailleur Cage,209,0,NULL,NULL
"Long-Sleeve Logo Jersey, L",232,0,NULL,NULL
"ML Road Frame - Red, 60",278,0,NULL,NULL
"Road-450 Red, 58",315,0,NULL,NULL
LL Nipple,169,0,NULL,NULL
"ML Road Frame-W - Yellow, 38",418,0,NULL,NULL
HL Road Rear Wheel,424,0,NULL,NULL
Lock Nut 20,132,0,NULL,NULL
"Half-Finger Gloves, M",464,0,NULL,NULL
"HL Road Frame - Black, 62",438,0,NULL,NULL
"LL Touring Frame - Yellow, 50",507,0,NULL,NULL
Thin-Jam Lock Nut 3,109,0,NULL,NULL
"Women's Tights, L",458,0,NULL,NULL
External Lock Washer 8,89,0,NULL,NULL
HL Touring Seat Assembly,195,0,NULL,NULL
BB Ball Bearing,3,0,NULL,NULL
"HL Road Frame - Red, 56",252,0,NULL,NULL
Lock Washer 13,146,0,NULL,NULL
Lock Washer 9,152,0,NULL,NULL
"HL Mountain Frame - Silver, 46",295,0,NULL,NULL
HL Mountain Pedal,544,0,NULL,NULL
"HL Road Frame - Black, 52",444,0,NULL,NULL
HL Mountain Seat Assembly,189,0,NULL,NULL
LL Touring Seat/Saddle,521,0,NULL,NULL
"Sport-100 Helmet, Red",212,0,NULL,NULL
"Long-Sleeve Logo Jersey, XL",235,0,NULL,NULL
Paint - Red,172,0,NULL,NULL
HL Mountain Rear Wheel,421,0,NULL,NULL
Hex Nut 10,66,0,NULL,NULL
"LL Mountain Frame - Silver, 52",527,0,NULL,NULL
"Long-Sleeve Logo Jersey, M",229,0,NULL,NULL
"ML Road Frame - Red, 48",275,0,NULL,NULL
"Road-450 Red, 48",318,0,NULL,NULL
Lock Nut 12,126,0,NULL,NULL
Flat Washer 4,26,0,NULL,NULL
"LL Road Frame - Red, 62",272,0,NULL,NULL
Lock Nut 10,129,0,NULL,NULL
"Men's Bib-Shorts, L",461,0,NULL,NULL
Thin-Jam Lock Nut 16,106,0,NULL,NULL
External Lock Washer 7,86,0,NULL,NULL
Hex Nut 12,63,0,NULL,NULL
LL Crankarm,6,0,NULL,NULL
"LL Road Frame - Black, 58",255,0,NULL,NULL
"LL Touring Frame - Blue, 58",504,0,NULL,NULL
LL Mountain Handlebars,398,0,NULL,NULL
Thin-Jam Hex Nut 16,43,0,NULL,NULL
"HL Mountain Frame - Silver, 48",292,0,NULL,NULL
"HL Road Frame - Black, 48",441,0,NULL,NULL
Thin-Jam Hex Nut 14,49,0,NULL,NULL
"HL Mountain Frame - Black, 42",298,0,NULL,NULL
Lock Washer 7,149,0,NULL,NULL
"LL Road Frame - Black, 62",261,0,NULL,NULL
"HL Road Frame - Red, 62",238,0,NULL,NULL
Internal Lock Washer 4,92,0,NULL,NULL
"ML Road Frame-W - Yellow, 40",430,0,NULL,NULL
Thin-Jam Lock Nut 12,115,0,NULL,NULL
Lock Nut 19,138,0,NULL,NULL
Metal Sheet 2,161,0,NULL,NULL
"LL Road Frame - Black, 48",284,0,NULL,NULL
HL Road Handlebars,407,0,NULL,NULL
Flat Washer 5,29,0,NULL,NULL
Paint - Yellow,175,0,NULL,NULL
"Sport-100 Helmet, Blue",221,0,NULL,NULL
"Full-Finger Gloves, L",470,0,NULL,NULL
Hex Nut 18,75,0,NULL,NULL
Seat Lug,201,0,NULL,NULL
Chainring Bolts,9,0,NULL,NULL
Decal 2,15,0,NULL,NULL
ML Mountain Rim,181,0,NULL,NULL
Metal Plate 2,158,0,NULL,NULL
LL Crankset,556,0,NULL,NULL
"HL Road Frame - Red, 48",244,0,NULL,NULL
"HL Mountain Frame - Black, 46",301,0,NULL,NULL
"LL Mountain Frame - Black, 40",550,0,NULL,NULL
Thin-Jam Hex Nut 12,52,0,NULL,NULL
"LL Touring Frame - Yellow, 62",493,0,NULL,NULL
Internal Lock Washer 7,95,0,NULL,NULL
"ML Mountain Frame - Black, 44",427,0,NULL,NULL
Hex Nut 14,72,0,NULL,NULL
LL Road Handlebars,404,0,NULL,NULL
Lock Nut 6,118,0,NULL,NULL
Taillights - Battery-Powered,450,0,NULL,NULL
"LL Road Frame - Black, 60",258,0,NULL,NULL
"LL Road Frame - Red, 48",264,0,NULL,NULL
"LL Road Frame - Black, 44",281,0,NULL,NULL
Head Tube,78,0,NULL,NULL
LL Mountain Front Wheel,410,0,NULL,NULL
"Mountain Bike Socks, M",218,0,NULL,NULL
Front Derailleur Cage,32,0,NULL,NULL
"Mountain-300 Black, 38",364,0,NULL,NULL
"ML Mountain Frame-W - Silver, 46",513,0,NULL,NULL
Crown Race,12,0,NULL,NULL
Cone-Shaped Race,178,0,NULL,NULL
"LL Touring Frame - Blue, 44",510,0,NULL,NULL
LL Grip Tape,35,0,NULL,NULL
"Mountain-300 Black, 48",367,0,NULL,NULL
"LL Mountain Frame - Black, 48",533,0,NULL,NULL
Metal Angle,155,0,NULL,NULL
Lock Nut 14,135,0,NULL,NULL
LL Touring Handlebars,553,0,NULL,NULL
Thin-Jam Lock Nut 14,112,0,NULL,NULL
Hex Nut 6,55,0,NULL,NULL
"HL Mountain Frame - Black, 38",304,0,NULL,NULL
"HL Road Frame - Red, 44",241,0,NULL,NULL
Internal Lock Washer 1,98,0,NULL,NULL
Cable Lock,447,0,NULL,NULL
LL Shell,198,0,NULL,NULL
ML Touring Seat/Saddle,522,0,NULL,NULL
Lock Washer 10,144,0,NULL,NULL
Metal Sheet 1,167,0,NULL,NULL
"HL Touring Frame - Blue, 54",499,0,NULL,NULL
"Men's Sports Shorts, M",453,0,NULL,NULL
"HL Mountain Frame - Silver, 38",307,0,NULL,NULL
ML Road Rim,184,0,NULL,NULL
"LL Road Frame - Red, 52",267,0,NULL,NULL
ML Mountain Seat/Saddle,516,0,NULL,NULL
"Long-Sleeve Logo Jersey, M",230,0,NULL,NULL
Freewheel,21,0,NULL,NULL
Lock Nut 7,121,0,NULL,NULL
Lock Nut 13,127,0,NULL,NULL
"LL Road Frame - Red, 62",273,0,NULL,NULL
"HL Road Frame - Red, 56",250,0,NULL,NULL
Hex Nut 7,58,0,NULL,NULL
Keyed Washer,81,0,NULL,NULL
LL Road Front Wheel,413,0,NULL,NULL
"ML Road Frame-W - Yellow, 48",436,0,NULL,NULL
Hex Nut 13,64,0,NULL,NULL
Thin-Jam Hex Nut 9,38,0,NULL,NULL
Thin-Jam Lock Nut 9,101,0,NULL,NULL
Top Tube,207,0,NULL,NULL
Thin-Jam Hex Nut 5,44,0,NULL,NULL
"HL Mountain Frame - Silver, 46",293,0,NULL,NULL
HL Fork,393,0,NULL,NULL
Adjustable Race,1,0,NULL,NULL
LL Mountain Pedal,542,0,NULL,NULL
Lower Head Race,141,0,NULL,NULL
LL Mountain Seat Assembly,187,0,NULL,NULL
Metal Sheet 4,164,0,NULL,NULL
"LL Road Frame - Black, 52",287,0,NULL,NULL
"LL Touring Frame - Blue, 50",502,0,NULL,NULL
"HL Road Frame - Black, 58",210,0,NULL,NULL
"Women's Tights, S",456,0,NULL,NULL
Road End Caps,18,0,NULL,NULL
"LL Road Frame - Red, 60",270,0,NULL,NULL
ML Road Seat/Saddle,519,0,NULL,NULL
AWC Logo Cap,224,0,NULL,NULL
Lock Nut 22,124,0,NULL,NULL
"HL Road Frame - Black, 44",439,0,NULL,NULL
External Lock Washer 9,84,0,NULL,NULL
Touring Front Wheel,416,0,NULL,NULL
"Long-Sleeve Logo Jersey, S",227,0,NULL,NULL
Chain,559,0,NULL,NULL
Steerer,204,0,NULL,NULL
ML Bottom Bracket,602,0,NULL,NULL
"Men's Bib-Shorts, S",459,0,NULL,NULL
Hex Nut 22,61,0,NULL,NULL
"ML Road Frame-W - Yellow, 44",433,0,NULL,NULL
Thin-Jam Hex Nut 2,41,0,NULL,NULL
"HL Mountain Frame - Silver, 42",290,0,NULL,NULL
Thin-Jam Lock Nut 2,104,0,NULL,NULL
"HL Touring Frame - Yellow, 54",496,0,NULL,NULL
Lock Washer 8,147,0,NULL,NULL
HL Headset,396,0,NULL,NULL
"HL Road Frame - Red, 52",247,0,NULL,NULL
LL Road Seat Assembly,190,0,NULL,NULL
"Sport-100 Helmet, Red",213,0,NULL,NULL
LL Road Pedal,545,0,NULL,NULL
"Long-Sleeve Logo Jersey, XL",236,0,NULL,NULL
ML Road Handlebars,405,0,NULL,NULL
"LL Road Frame - Black, 62",259,0,NULL,NULL
Thin-Jam Lock Nut 7,113,0,NULL,NULL
LL Road Rear Wheel,422,0,NULL,NULL
Hex Nut 11,67,0,NULL,NULL
Flat Washer 3,27,0,NULL,NULL
